"","x"
"1",28.45
"2",26.61
"3",38
"4",14.65
"5",8.7
"6",14.65
"7",51.95
"8",54.2
"9",475.5
"10",838.05
"11",49.995
"12",14926.3
"13",18830.3
"14",78.575
"15",644.9
"16",1434.8
"17",259664.4
"18",92134.2
"19",23045.85
"20",697.35
"21",314.9
"22",45.085
"23",645.4
"24",455.45
"25",339.6
"26",69.65
"27",1.5
