"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Joueurs_utilisees",1.42343849546994,10.4766694529787,6.11397343198022,2.93851422952798,0.0712469776018116
"Age",0.163827331019378,5.76052845837019,2.33234766561092,5.56738265291503,33.013702432651
"Match.jouee",2.77333911991762e-30,3.08148791101958e-29,5.46109472793153e-29,4.92267994711931e-28,1.37028422947445e-26
"Match_gagnee",5.10932151525343,2.56669362526072,0.357893682458626,0.820853448303354,0.0221308329626073
"Match_nul",0.588821813992023,0.0175446011609187,34.4448534484045,0.0302029286160954,6.75182590281615
"Match_perdu",4.07957469212903,3.05843568143861,11.4446064389681,0.760966952202792,1.12849756248354
"But_pour",4.86814018286053,3.02702491723804,0.792780782789609,0.188907262597651,1.83551949108204
"But_contre",3.58227081174316,1.7800747866742,17.0625657990769,0.698817078741329,0.0531928009839747
"Tire_tentee",5.22589858146614,0.0202333289572819,0.0478327266865416,3.91308449196703,5.21868890615946
"Action_qui_amene_un_tir",5.58699953107048,0.022239234722824,0.0365657551576027,3.2259821278184,3.54046481347333
"Possession",6.08753949578351,1.43520295838106,2.01857750654309e-05,0.868269571511232,0.125542445870112
"Passe_reeussi",6.02794810850988,1.24325502158512,1.09671928851176,0.752473954692024,0.448236006614336
"Passe_tentee",5.95999427045701,1.20722686405233,1.05955018066576,1.3374498691632,0.218437036154559
"Ratio_passe_reussi",5.662085902311,1.9720366440021,0.736486723172629,0.0788883448935228,2.10853814699146
"Conduite_avant",5.51087772027606,1.06081836336725,1.65397053227942,0.869066512201697,0.0748006892763121
"Passe_avant",6.0247605693309,0.42601222298799,0.0589353068832508,2.01082087440218,1.87821592427451
"Dist_passe",6.13792790671665,0.734667769180928,0.471227260407907,0.194677683891313,1.66567875589498
"Dist_passe_avant",5.76795431463561,0.273724226474901,0.0296080576528725,1.75425128855598,0.00389077749018221
"Touches_de_balle",5.75262909427928,1.87552951266355,1.04808360364098,1.87579061798995,0.0644314362599292
"Drible_tentee",0.786324864383328,14.7092431243223,5.0649967894923,0.519428711962738,4.78162065937826
"Drible_reeussi",1.22294436707942,15.5910638075683,3.12541355270226,7.99649313632314,0.698982594135515
"Ratio_drible",0.987865363397253,4.89480949644313,0.00562268104909184,29.4239524349816,4.64453600932594
"Tacle",2.65887110042504,8.06606580959511,0.096204801443446,15.6056968194302,3.14291379914746
"Blocks",4.77834030943376,3.66640874935013,0.0299896296959729,0.552363968666582,0.196058641272871
"Interception",3.80599880928193,0.00429127887493757,0.528800734959009,9.88234429049677,3.73743876822005
"Carton_jaune",2.16123664707885,7.06557538574409,2.99587673664458,3.22756180506285,4.87156190403899
"Carton_rouge",0.0384082016164985,9.04462467860523,9.36507420389056,4.90575894308545,19.7038466854406
